name,line,lat,lon
4.19민주묘지,우이신설선,37.649540,127.013710
가능역,경원선,37.748362,127.044251
가락시장,3호선,37.492318,127.117700
가락시장,8호선,37.493004,127.118279
가산디지털단지,7호선,37.480376,126.882704
가산디지털단지역,경부선,37.481568,126.882628
가양,서울 도시철도 9호선,37.561111,126.855078
가오리,우이신설선,37.641620,127.016810
가재울,인천지하철 2호선,37.484152,126.683883
가정(루원시티),인천지하철 2호선,37.524805,126.675387
가정중앙시장,인천지하철 2호선,37.517511,126.676784
가좌역,경의중앙선,37.568611,126.914841
가천대역,분당선,37.448784,127.126677
간석역,경인선,37.464689,126.693408
간석오거리,인천지하철 1호선,37.466921,126.707861
갈매역,경춘선,37.634135,127.114803
갈산,인천지하철 1호선,37.517124,126.721566
강남,2호선,37.498050,127.027950
강남,신분당선,37.497385,127.027879
강남구청,7호선,37.517185,127.041220
강남구청역,분당선,37.516572,127.041575
강동,5호선,37.535810,127.132490
강동구청,8호선,37.530348,127.120461
강매역,경의중앙선,37.612396,126.844537
강변(동서울터미널),2호선,37.535161,127.094684
강일,5호선,37.557521,127.176018
개롱,5호선,37.498097,127.134817
개봉역,경인선,37.494698,126.858504
개포동역,분당선,37.489112,127.066027
개화,서울 도시철도 9호선,37.578591,126.797833
개화산,5호선,37.572458,126.806838
거여,5호선,37.493208,127.143983
건대입구,2호선,37.540408,127.069231
건대입구,7호선,37.540882,127.071103
걸포북변역,김포도시철도,37.631639,126.705750
검단사거리,인천지하철 2호선,37.601693,126.656545
검단오류,인천지하철 2호선,37.595016,126.628010
검단호수공원,인천지하철 1호선,37.602500,126.688056
검바위,인천지하철 2호선,37.561091,126.677529
검암,인천국제공항선,37.569155,126.673536
검암,인천지하철 2호선,37.568611,126.675682
경기광주역,경강선,37.398974,127.253201
경기도청북부청사,의정부,37.750732,127.071479
경마공원역,안산과천선,37.443987,127.007899
경복궁(정부서울청사),3호선,37.575844,126.973576
경인교대입구,인천지하철 1호선,37.538272,126.722603
경전철의정부,의정부,37.737300,127.043321
경찰병원,3호선,37.495754,127.124198
계산,인천지하철 1호선,37.543243,126.728436
계양,인천국제공항선,37.571769,126.736319
계양,인천지하철 1호선,37.571539,126.736319
고덕,5호선,37.555002,127.154214
고려대(종암),6호선,37.590340,127.036260
고속터미널,3호선,37.504953,127.004916
고속터미널,7호선,37.503387,127.005055
고속터미널,서울 도시철도 9호선,37.505933,127.004044
고잔역,수인선,37.316821,126.823094
고촌역,김포도시철도,37.601250,126.770361
곡산역,경의중앙선,37.645729,126.801877
곤제,의정부,37.750543,127.083865
공덕,5호선,37.544005,126.951058
공덕,6호선,37.543592,126.951664
공덕,인천국제공항선,37.542710,126.951630
공덕역,경의중앙선,37.542711,126.952134
공릉(서울과학기술대),7호선,37.625642,127.072969
공항시장,서울 도시철도 9호선,37.563726,126.810678
과천역,안산과천선,37.432805,126.996404
관악산,수도권 경량도시철도 신림선,37.469169,126.944955
관악역,경부선,37.419578,126.908476
광교(경기대),신분당선,37.301735,127.044856
광나루(장신대),5호선,37.545301,127.103478
광명사거리,7호선,37.479270,126.854854
광명역,경부선,37.415995,126.884523
광운대역,경원선,37.623570,127.061810
광운대역,경의중앙선,37.623900,127.062000
광운대역,경춘선,37.623635,127.061975
광화문(세종문화회관),5호선,37.571645,126.976568
광흥창(서강),6호선,37.547464,126.931971
교대(법원·검찰청),2호선,37.493957,127.014431
교대(법원·검찰청),3호선,37.493060,127.013796
구래역,김포도시철도,37.645354,126.628500
구로디지털단지,2호선,37.485293,126.901456
구로역,경부선,37.503178,126.882037
구룡역,분당선,37.486985,127.059496
구리(구리전통시장),8호선,37.602560,127.140730
구리역,경의중앙선,37.603260,127.143373
구반포,서울 도시철도 9호선,37.501389,126.987222
구산,6호선,37.611196,126.917252
구의(광진구청),2호선,37.537157,127.086212
구일역,경인선,37.495973,126.869201
구파발,3호선,37.636612,126.918827
국제업무지구,인천지하철 1호선,37.400421,126.630105
국회의사당,서울 도시철도 9호선,37.528105,126.917874
군자(능동),5호선,37.557102,127.079559
군자(능동),7호선,37.557151,127.079484
군포역,경부선,37.353732,126.948517
굴포천,도시철도 7호선,37.506950,126.731481
굽은다리(강동구민회관앞),5호선,37.545442,127.142844
귤현,인천지하철 1호선,37.566362,126.742498
금곡역,경춘선,37.637414,127.207931
금릉역,경의중앙선,37.751295,126.765401
금정역,경부선,37.371957,126.943411
금정역,안산과천선,37.371957,126.943611
금천구청역,경부선,37.455760,126.894344
금촌역,경의중앙선,37.766106,126.774515
금호,3호선,37.548269,127.015785
길동,5호선,37.538022,127.140085
길음,4호선,37.603387,127.025053
김포공항,5호선,37.562170,126.801273
김포공항,서울 도시철도 9호선,37.562056,126.801633
김포공항,인천국제공항선,37.562117,126.801544
김포공항역,김포도시철도,37.562309,126.801833
김포공항역,서해선,37.562118,126.804056
까치산,5호선,37.532200,126.846450
까치울,도시철도 7호선,37.506236,126.810950
낙성대(강감찬),2호선,37.477130,126.963583
남구로,7호선,37.486181,126.887372
남동구청,인천지하철 2호선,37.448179,126.736581
남동인더스파크역,수인선,37.407668,126.695613
남부터미널(예술의전당),3호선,37.484940,127.016289
남성,7호선,37.484688,126.971108
남영역,경부선,37.540597,126.971171
남위례,8호선,37.462839,127.139047
남태령,4호선,37.464339,126.989081
남한산성입구(성남법원·검찰청),8호선,37.451568,127.159845
내방,7호선,37.487640,126.993541
노들,서울 도시철도 9호선,37.512726,126.953096
노량진,서울 도시철도 9호선,37.513667,126.940917
노량진역,경부선,37.514072,126.941671
노원,4호선,37.656274,127.063183
노원,7호선,37.654478,127.060555
녹번,3호선,37.600882,126.935758
녹사평(용산구청),6호선,37.534690,126.986650
녹양역,경원선,37.759416,127.042272
녹천역,경원선,37.644599,127.051406
논현,7호선,37.511108,127.021385
논현,신분당선,37.511115,127.021366
능곡역,경의중앙선,37.618741,126.820890
능곡역,서해선,37.618741,126.820600
능길역,수인선,37.337488,126.767306
다산역,수도권 광역철도 8호선,37.624370,127.149800
단대오거리,8호선,37.445057,127.156735
달미역,서해선,37.349000,126.809318
달월역,수인선,37.379993,126.745431
답십리,5호선,37.566833,127.052660
당곡,수도권 경량도시철도 신림선,37.490039,126.927569
당산,2호선,37.534807,126.902611
당산,서울 도시철도 9호선,37.533844,126.902222
당정역,경부선,37.343380,126.948388
대곡역,경의중앙선,37.631629,126.810225
대곡역,서해선,37.631629,126.809802
대곡역,일산선,37.631629,126.811025
대공원역,안산과천선,37.435724,127.006474
대림(구로구청),2호선,37.493283,126.894979
대림(구로구청),7호선,37.492984,126.896997
대모산입구역,분당선,37.491347,127.072702
대방,수도권 경량도시철도 신림선,37.512840,126.925317
대방역,경부선,37.513392,126.926407
대야미역,안산과천선,37.328304,126.917161
대청,3호선,37.493607,127.079526
대치,3호선,37.494601,127.063449
대화역,일산선,37.675883,126.747756
대흥(서강대앞),6호선,37.547732,126.942214
덕소역,경의중앙선,37.586892,127.208835
도곡,3호선,37.491129,127.055694
도곡역,분당선,37.490914,127.055393
도농역,경의중앙선,37.608756,127.161105
도림천,2호선,37.514559,126.882586
도봉산,7호선,37.689131,127.046548
도봉산역,경원선,37.689603,127.046047
도봉역,경원선,37.679441,127.045521
도심역,경의중앙선,37.579628,127.222798
도원역,경인선,37.468604,126.642824
도화역,경인선,37.466154,126.668460
독립문,3호선,37.574534,126.957902
독바위,6호선,37.618413,126.933035
독산역,경부선,37.465994,126.889508
독정,인천지하철 2호선,37.584927,126.675981
돌곶이,6호선,37.610522,127.056419
동구릉,8호선,37.610556,127.135056
동대문,1호선,37.571646,127.010690
동대문,4호선,37.570990,127.009250
동대문역사문화공원(DDP),2호선,37.565609,127.009083
동대문역사문화공원(DDP),4호선,37.565141,127.007808
동대문역사문화공원(DDP),5호선,37.564682,127.005330
동대입구,3호선,37.559060,127.005273
동막,인천지하철 1호선,37.398173,126.673561
동묘앞,1호선,37.573265,127.016459
동묘앞,6호선,37.572275,127.015666
동수,인천지하철 1호선,37.485409,126.718464
동암역,경인선,37.470835,126.703016
동오,의정부,37.745191,127.057030
동인천역,경인선,37.475414,126.632598
동작(현충원),4호선,37.503567,126.980171
동작(현충원),서울 도시철도 9호선,37.502878,126.978278
동천,신분당선,37.338684,127.102794
동춘,인천지하철 1호선,37.404676,126.680835
둔촌동,5호선,37.527787,127.136219
둔촌오륜,수도권  도시철도 9호선,37.519339,127.138619
등촌,서울 도시철도 9호선,37.551111,126.864722
디지털미디어시티,6호선,37.576081,126.901343
디지털미디어시티,인천국제공항선,37.577355,126.898025
디지털미디어시티역,경의중앙선,37.577964,126.900421
뚝섬,2호선,37.547180,127.047413
마곡,5호선,37.558650,126.837693
마곡나루,인천국제공항선,37.565819,126.827636
마곡나루(서울식물원),서울 도시철도 9호선,37.566717,126.827607
마두역,일산선,37.652185,126.777641
마들,7호선,37.664985,127.057701
마산역,김포도시철도,37.640606,126.643944
마장,5호선,37.566066,127.042921
마전,인천지하철 2호선,37.597756,126.667195
마천,5호선,37.494972,127.152784
마포,5호선,37.539718,126.946043
마포구청,6호선,37.563529,126.903356
만수,인천지하철 2호선,37.454962,126.731764
망우역,경의중앙선,37.599288,127.092318
망우역,경춘선,37.599988,127.092031
망원,6호선,37.556031,126.910129
망월사역,경원선,37.710499,127.047361
매봉,3호선,37.487114,127.046907
먹골,7호선,37.610638,127.077719
면목,7호선,37.588671,127.087503
명동,4호선,37.560955,126.986271
명일,5호선,37.551317,127.144002
명학역,경부선,37.384435,126.935579
모란,8호선,37.433988,127.129921
모란역,분당선,37.432124,127.129064
모래내시장,인천지하철 2호선,37.455842,126.719578
목동,5호선,37.526088,126.864296
몽촌토성(평화의문),8호선,37.517692,127.112740
무악재,3호선,37.582658,126.950131
문래,2호선,37.517993,126.894766
문정,8호선,37.485931,127.122473
문학경기장,인천지하철 1호선,37.434964,126.698373
미금,신분당선,37.351183,127.108903
미금역,분당선,37.350078,127.108952
미사,5호선,37.563090,127.192954
미아(서울사이버대학),4호선,37.626435,127.026151
미아사거리,4호선,37.613276,127.030083
박촌,인천지하철 1호선,37.553525,126.744946
반월역,안산과천선,37.312244,126.903684
반포,7호선,37.508171,127.011717
발곡,의정부,37.726983,127.052889
발산,5호선,37.558692,126.837633
방배,2호선,37.481469,126.997627
방이,5호선,37.508752,127.126054
방학역,경원선,37.667471,127.044295
방화,5호선,37.577669,126.812822
백마역,경의중앙선,37.658346,126.794401
백석역,일산선,37.642973,126.788109
백운역,경인선,37.483301,126.707179
버티고개,6호선,37.547933,127.006948
범계역,안산과천선,37.389783,126.950752
범골,의정부,37.728728,127.043720
별내별가람역,진접선,37.667833,127.116167
별내역,경춘선,37.642221,127.127208
별내역,수도권 광역철도 8호선,37.642517,127.127300
보라매,7호선,37.499916,126.920112
보라매,수도권 경량도시철도 신림선,37.500313,126.920486
보라매공원,수도권 경량도시철도 신림선,37.495225,126.918259
보라매병원,수도권 경량도시철도 신림선,37.492961,126.923886
보문,6호선,37.585426,127.019722
보문,우이신설선,37.585510,127.019390
보정역,분당선,37.312740,127.108219
복정,8호선,37.471016,127.126746
복정역,분당선,37.469753,127.126627
봉은사,수도권  도시철도 9호선,37.514219,127.060245
봉천,2호선,37.482416,126.941696
